"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 07 20:57:52 WAT 2024","Tue May 07 20:57:52 WAT 2024","698","Contact management","Contacts","","","","Update a contact",""
"passed","Tue May 07 20:57:37 WAT 2024","Tue May 07 20:57:38 WAT 2024","289","Sales CRM","Files","","","","Get all files",""
"passed","Tue May 07 20:58:00 WAT 2024","Tue May 07 20:58:01 WAT 2024","420","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId","Delete scheduled batch of emails by batchId or single scheduled email by messageId"
"failed","Tue May 07 20:57:39 WAT 2024","Tue May 07 20:57:39 WAT 2024","270","Sales CRM","Files","","","","Delete a file",""
"passed","Tue May 07 20:57:33 WAT 2024","Tue May 07 20:57:34 WAT 2024","372","Sales CRM","Tasks","","","","Get all task types",""
"passed","Tue May 07 20:58:06 WAT 2024","Tue May 07 20:58:07 WAT 2024","339","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.","This endpoint will show the list of all the events for the received emails."
"passed","Tue May 07 20:57:58 WAT 2024","Tue May 07 20:57:58 WAT 2024","399","Contact management","Lists","","","","Update a list",""
"passed","Tue May 07 20:57:41 WAT 2024","Tue May 07 20:57:41 WAT 2024","213","Marketing","Email Campaigns","","","","Send an email campaign to your test list",""
"passed","Tue May 07 20:57:40 WAT 2024","Tue May 07 20:57:40 WAT 2024","216","Marketing","Email Campaigns","","","","Get an email campaign report",""
"failed","Tue May 07 20:58:18 WAT 2024","Tue May 07 20:58:19 WAT 2024","930","Account","Senders","","","","Create a new sender",""
"failed","Tue May 07 20:57:43 WAT 2024","Tue May 07 20:57:43 WAT 2024","221","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"passed","Tue May 07 20:58:14 WAT 2024","Tue May 07 20:58:14 WAT 2024","247","Account","Reseller","Child accounts","","","Delete a single reseller child based on the child identifier supplied",""
"passed","Tue May 07 20:57:31 WAT 2024","Tue May 07 20:57:31 WAT 2024","297","Sales CRM","Deals","","","","Get a deal",""
"passed","Tue May 07 20:57:39 WAT 2024","Tue May 07 20:57:40 WAT 2024","214","Marketing","Email Campaigns","","","","Create an email campaign",""
"passed","Tue May 07 20:57:27 WAT 2024","Tue May 07 20:57:27 WAT 2024","363","Sales CRM","Companies","","","","Create a company",""
"passed","Tue May 07 20:58:03 WAT 2024","Tue May 07 20:58:03 WAT 2024","314","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time","This endpoint will show the aggregated stats for past 90 days by default if `startDate` and `endDate` OR `days` is not passed. The date range can not exceed 90 days"
"passed","Tue May 07 20:58:11 WAT 2024","Tue May 07 20:58:11 WAT 2024","244","Account","Reseller","IP management","","","Associate a dedicated IP to the child",""
"passed","Tue May 07 20:57:44 WAT 2024","Tue May 07 20:57:44 WAT 2024","209","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"passed","Tue May 07 20:57:49 WAT 2024","Tue May 07 20:57:49 WAT 2024","284","Contact management","Contacts","","","","Get all the contacts",""
"passed","Tue May 07 20:57:49 WAT 2024","Tue May 07 20:57:50 WAT 2024","545","Contact management","Contacts","","","","Create a contact",""
"passed","Tue May 07 20:57:59 WAT 2024","Tue May 07 20:57:59 WAT 2024","316","Contact management","Attributes","","","","Update contact attribute",""
"passed","Tue May 07 20:58:04 WAT 2024","Tue May 07 20:58:04 WAT 2024","620","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)","This endpoint will show the aggregated stats for past 30 days by default if `startDate` and `endDate` OR `days` is not passed. The date range can not exceed 90 days"
"passed","Tue May 07 20:58:14 WAT 2024","Tue May 07 20:58:14 WAT 2024","285","Account","Reseller","Child accounts","","","Update info of reseller's child account status based on the identifier supplied",""
"passed","Tue May 07 20:57:53 WAT 2024","Tue May 07 20:57:54 WAT 2024","446","Contact management","Folders","","","","Create a folder",""
"passed","Tue May 07 20:57:46 WAT 2024","Tue May 07 20:57:46 WAT 2024","332","Conversations","Messages","","","","Get a message",""
"passed","Tue May 07 20:58:01 WAT 2024","Tue May 07 20:58:02 WAT 2024","266","Transactional","Templates","","","","Get the list of email templates",""
"passed","Tue May 07 20:57:43 WAT 2024","Tue May 07 20:57:43 WAT 2024","220","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"passed","Tue May 07 20:57:29 WAT 2024","Tue May 07 20:57:29 WAT 2024","370","Sales CRM","Companies","","","","Delete a company",""
"passed","Tue May 07 20:57:28 WAT 2024","Tue May 07 20:57:29 WAT 2024","418","Sales CRM","Companies","","","","Update a company",""
"passed","Tue May 07 20:57:54 WAT 2024","Tue May 07 20:57:54 WAT 2024","301","Contact management","Folders","","","","Get lists in a folder",""
"failed","Tue May 07 20:57:42 WAT 2024","Tue May 07 20:57:42 WAT 2024","208","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Tue May 07 20:57:56 WAT 2024","Tue May 07 20:57:57 WAT 2024","400","Contact management","Lists","","","","Add existing contacts to a list",""
"passed","Tue May 07 20:57:41 WAT 2024","Tue May 07 20:57:41 WAT 2024","198","Marketing","Email Campaigns","","","","Get an A/B test email campaign results","Obtain winning version of an A/B test email campaign"
"passed","Tue May 07 20:57:35 WAT 2024","Tue May 07 20:57:35 WAT 2024","420","Sales CRM","Tasks","","","","Delete a task",""
"passed","Tue May 07 20:57:33 WAT 2024","Tue May 07 20:57:33 WAT 2024","479","Sales CRM","Tasks","","","","Get all tasks",""
"passed","Tue May 07 20:58:05 WAT 2024","Tue May 07 20:58:05 WAT 2024","280","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains","Blocks a new domain in order to avoid messages being sent to the same"
"passed","Tue May 07 20:58:02 WAT 2024","Tue May 07 20:58:02 WAT 2024","245","Transactional","Templates","","","","Returns the template information",""
"passed","Tue May 07 20:58:14 WAT 2024","Tue May 07 20:58:15 WAT 2024","268","Account","Reseller","Child accounts","","","Get session token to access Sendinblue (SSO)","It returns a session [token] which will remain valid for a short period of time. A child account will be able to access a white-labeled section by using the following url pattern => https:/email.mydomain.com/login/sso?token=[token]"
"passed","Tue May 07 20:58:15 WAT 2024","Tue May 07 20:58:16 WAT 2024","209","Account","Corporate","","","","Get the list of all the sub-accounts of the master account.","This endpoint will provide the list all the sub-accounts of the master account."
"passed","Tue May 07 20:57:31 WAT 2024","Tue May 07 20:57:31 WAT 2024","454","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"passed","Tue May 07 20:58:13 WAT 2024","Tue May 07 20:58:13 WAT 2024","258","Account","Reseller","Child accounts","","","Get the status of a reseller's child account creation, whether it is successfully created (exists) or not based on the childIdentifier supplied",""
"failed","Tue May 07 20:58:15 WAT 2024","Tue May 07 20:58:15 WAT 2024","308","Account","Process","","","","Return all the processes for your account",""
"passed","Tue May 07 20:58:09 WAT 2024","Tue May 07 20:58:10 WAT 2024","316","Account","Webhooks","","","","Get a webhook details",""
"passed","Tue May 07 20:58:08 WAT 2024","Tue May 07 20:58:09 WAT 2024","379","Account","Webhooks","","","","Get all webhooks",""
"passed","Tue May 07 20:57:26 WAT 2024","Tue May 07 20:57:27 WAT 2024","835","Sales CRM","Companies","","","","Get all Companies",""
"passed","Tue May 07 20:57:32 WAT 2024","Tue May 07 20:57:32 WAT 2024","483","Sales CRM","Deals","","","","Update a deal",""
"passed","Tue May 07 20:58:21 WAT 2024","Tue May 07 20:58:21 WAT 2024","404","Account","Senders","","","","Delete a sender",""
"passed","Tue May 07 20:57:51 WAT 2024","Tue May 07 20:57:51 WAT 2024","293","Contact management","Contacts","","","","Import contacts","It returns the background process ID which on completion calls the notify URL that you have set in the input."
"passed","Tue May 07 20:57:44 WAT 2024","Tue May 07 20:57:44 WAT 2024","478","Marketing","SMS Campaigns","","","","Update a campaign's status",""
"passed","Tue May 07 20:57:38 WAT 2024","Tue May 07 20:57:39 WAT 2024","842","Sales CRM","Files","","","","Download a file",""
"passed","Tue May 07 20:57:48 WAT 2024","Tue May 07 20:57:48 WAT 2024","352","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Tue May 07 20:58:06 WAT 2024","Tue May 07 20:58:06 WAT 2024","238","Transactional","Logs","","","","Delete an SMTP transactional log",""
"passed","Tue May 07 20:57:41 WAT 2024","Tue May 07 20:57:41 WAT 2024","207","Marketing","Email Campaigns","","","","Update an email campaign status",""
"passed","Tue May 07 20:57:37 WAT 2024","Tue May 07 20:57:37 WAT 2024","318","Sales CRM","Notes","","","","Delete a note",""
"passed","Tue May 07 20:57:37 WAT 2024","Tue May 07 20:57:37 WAT 2024","301","Sales CRM","Notes","","","","Update a note",""
"passed","Tue May 07 20:58:07 WAT 2024","Tue May 07 20:58:07 WAT 2024","335","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.","This endpoint will retrieve inbound attachment with download token."
